question_id,answer_id,pratico_weight,riflessivo_weight,critico_weight,razionale_weight
0,0,1,9,9,1
0,1,5,5,5,5
0,2,9,1,1,9
1,0,1,9,9,1
1,1,5,5,5,5
1,2,9,1,1,9
2,0,1,9,9,1
2,1,5,5,5,5
2,2,9,1,1,9
3,0,9,9,1,1
3,1,5,5,5,5
3,2,1,1,9,9
4,0,9,1,1,9
4,1,5,5,5,5
4,2,1,9,9,1
5,0,1,9,9,1
5,1,5,5,5,5
5,2,9,1,1,9
6,0,1,9,9,1
6,1,5,5,5,5
6,2,9,1,1,9
7,0,1,9,9,1
7,1,5,5,5,5
7,2,9,1,1,9
8,0,9,1,1,9
8,1,5,5,5,5
8,2,1,9,9,1
9,0,1,9,9,1
9,1,9,1,1,9
10,0,9,9,1,1
10,1,1,1,9,9
11,0,1,9,9,1
11,1,9,1,1,9
12,0,9,9,1,1
12,1,1,1,9,9
13,0,9,1,1,9
13,1,5,5,5,5
13,2,1,9,9,1
14,0,9,1,1,9
14,1,5,5,5,5
14,2,1,9,9,1
15,0,1,1,9,9
15,1,5,5,5,5
15,2,1,1,9,9
16,0,1,9,9,1
16,1,5,5,5,5
16,2,9,1,1,9
17,0,9,1,9,1
17,1,5,5,5,5
17,2,1,9,1,9
18,0,1,9,9,1
18,1,5,5,5,5
18,2,9,1,1,9
19,0,9,9,1,1
19,1,5,5,5,5
19,2,1,1,9,9
20,0,9,1,1,9
20,1,5,5,5,5
20,2,1,9,9,1
21,0,9,9,1,1
21,1,5,5,5,5
21,2,1,1,9,9
22,0,9,1,1,9
22,1,5,5,5,5
22,2,1,9,9,1
23,0,1,1,9,9
23,1,5,5,5,5
23,2,9,9,1,1
24,0,1,9,9,1
24,1,5,5,5,5
24,2,9,1,1,9
25,0,1,9,9,1
25,1,5,5,5,5
25,2,9,1,1,9
26,0,9,5,3,1 
26,1,5,9,3,1
26,2,1,3,9,5
26,3,1,3,5,9
27,0,9,5,3,1 
27,1,5,9,3,1
27,2,1,3,5,9
27,3,1,3,9,5
28,0,9,5,3,1 
28,1,5,9,3,1
28,2,1,3,9,5
28,3,1,3,5,9
29,0,1,3,5,9 
29,1,1,5,9,3
29,2,5,9,3,1
29,3,9,5,3,1
30,0,1,3,5,9 
30,1,1,3,9,5
30,2,9,5,3,1
30,3,5,9,3,1
31,0,9,5,3,1 
31,1,5,9,3,1
31,2,1,3,5,9
31,3,1,3,9,5
32,0,1,3,5,9 
32,1,1,3,9,5
32,2,9,5,3,1
32,3,5,9,3,1
33,0,1,3,5,9 
33,1,1,5,9,3
33,2,5,9,3,1
33,3,9,5,3,1
34,0,1,3,5,9 
34,1,1,5,9,3
34,2,5,9,3,1
34,3,9,5,3,1
35,0,9,5,3,1 
35,1,5,9,3,1
35,2,1,3,5,9
35,3,1,3,9,5
36,0,9,5,3,1 
36,1,5,9,3,1
36,2,1,3,5,9
36,3,1,3,9,5
37,0,9,5,3,1 
37,1,5,9,3,1
37,2,1,3,5,9
37,3,1,3,9,5
38,0,1,3,5,9 
38,1,5,5,5,5
38,2,9,5,3,1
39,0,1,3,5,9 
39,1,5,5,5,5
39,2,9,5,3,1
40,0,1,3,5,9 
40,1,5,5,5,5
40,2,5,9,3,1
41,0,9,5,3,1 
41,1,5,5,5,5
41,2,1,3,5,9
42,0,1,3,5,9 
42,1,5,5,5,5
42,2,9,5,3,1
43,0,1,3,5,9 
43,1,5,5,5,5
43,2,5,9,3,1
44,0,1,3,5,9 
44,1,5,5,5,5
44,2,5,9,3,1
45,0,9,5,3,1 
45,1,5,5,5,5
45,2,1,3,5,9
46,0,1,3,5,9 
46,1,5,5,5,5
46,2,5,9,3,1
47,0,9,5,3,1 
47,1,5,5,5,5
47,2,1,3,9,5
48,0,9,5,3,1 
48,1,5,5,5,5
48,2,1,3,5,9
49,0,9,5,3,1 
49,1,5,5,5,5
49,2,1,3,9,5
50,0,1,3,5,9 
50,1,5,5,5,5
50,2,9,5,3,1
51,0,9,5,3,1 
51,1,5,5,5,5
51,2,1,3,5,9
52,0,9,5,3,1 
52,1,5,5,5,5
52,2,1,3,5,9
53,0,1,3,5,9 
53,1,5,5,5,5
53,2,5,9,3,1
